ðiː the
əˈdʒʌs.tə.bəl adjustable
ˌæl.əˈkeɪ.ʃən allocation
ˈes.eɪ essay
ˈdɪs.ə.plɪn discipline
ˈdem.ən.streɪt demonstrated
ˈdaɪ.ə.lɑːɡ dialogue
aɪˈden.t̬ə.faɪ identifying
ˌæl.fəˈbet̬.ɪ.kəl alphabetical
dɪˈklerd declared
dɪˈspætʃ dispatched
ˌhændˈheld handheld
treɪs trace
dɪˈspoʊ.zəl disposal
ʃʌt shut
ɪnˈstɑːl installing
roʊˈmeɪ.ni.ə romania
ˈvɑː.lən.ter.i voluntary
ðaʊ thou
kənˈsʌlt consult
ˌpiː.eɪtʃˈdiː phd
ˈɡreɪt.li greatly
mæsk mask
ˈsaɪ.klɪŋ cycling
ˈmɪd.naɪt midnight
ˈkɑː.mən.li commonly
ˌpiːˈiː pe
fəˈtɑː.ɡrə.fɚ photographer
ɪnˈfɔːrm inform
ˈtɝː.kɪʃ turkish
koʊl coal
kraɪ cry
ˈmes.ɪ.dʒɪŋ messaging
ˈpen.tiəm pentium
ˈkwɑːn.t̬əm quantum
ɪnˈtent intent
zuː zoo
ˈlɑːrdʒ.li largely
ˈplez.ənt pleasant
əˈnaʊns announce
kənˈstrʌkt constructed
rɪˈkwaɪr requiring
spoʊk spoke
ˌeɪ.keɪˈeɪ aka
ˈer.oʊ arrow
ɪnˈɡeɪdʒ.mənt engagement
rʌf rough
wɪrd weird
tiː tee
ˈlaɪ.ən lion
ɪnˈspaɪrd inspired
bleɪd blade
ˈsʌd.ən.li suddenly
ˈɑːk.sɪ.dʒən oxygen
ˈkʊk.i cookie
ˈkæn.jən canyon
ˈmɪr.li merely
əˈreɪndʒ.mənt arrangement
ˌbɪb.liˈɑː.ɡrə.fi bibliography
ˈpɔɪn.t̬ɚ pointer
kəmˌpæt̬.əˈbɪl.ə.t̬i compatibility
stretʃ stretch
ˈdɜ˞.əm durham
ˈfɝː.ðɚ.mɔːr furthermore
koʊˈɑː.pɚ.ə.t̬ɪv cooperative
ˈmɑː.zlem muslim
ˌeksˈel xl
sliːv sleeve
ˈkliː.nɚ cleaner
ˈkrɪk.ɪt cricket
biːf beef
ˈfiː.dɪŋ feeding
stroʊk stroke
ˈtaʊn.ʃɪp township
ˈmeʒ.ɚ measuring
kæd cad
ˈrɑː.bɪn robin
stræp strap
ˈhedˌkwɔːr.t̬ɚz headquarters
kraʊd crowd
sɝːf surf
oʊˈlɪm.pɪk olympic
ˌtræns.fɚˈmeɪ.ʃən transformation
rɪˈmeɪn remained
ˈkʌs·təmz customs
ˌpɝː.sənˈæl.ə.t̬i personality
ˈreɪn.boʊ rainbow
hʊk hook
ruːˈlet roulette
dɪˈklaɪn decline
ɪzˈreɪ.li israeli
ˈmed.ɪ.ker medicare
kɔːrd cord
ˈskiː.ɪŋ skiing
klaʊd cloud
fəˈsɪl.ə.teɪt facilitate
səbˈskraɪ.bɚ subscriber
vælv valve
proʊˈsiːd proceed
naɪf knife
dʒəˈmeɪ.kə jamaica
ʃelf shelf
ˈbʊk.stɔːr bookstore
ˈtaɪ.mɪŋ timing
laɪk liked
ˈper.ən.t̬ɪŋ parenting
əˈdɑːpt adopt
dɪˈnaɪ denied
ɪnˈkred.ə.bəl incredible
ˈfriː.wer freeware
fʌkt fucked
doʊˈneɪ.ʃən donation
ˈaʊ.t̬ɚ outer
krɑːp crop
ˈkɑː.mən.welθ commonwealth
ˌfɑːr.məˈsuː.t̬ɪ.kəl pharmaceutical
mænˈhæt̬.ən manhattan
ˈwɝːk.fɔːrs workforce
ˈɪz.lɑːm islam
saɪt cited
laɪt lite
hʌb hub
ˌɔːr.ɡən.əˈzeɪ.ʃən.əl organizational
skaɪp skype
twelv twelve
ˈfaʊn.dɚ founder
ˈdek.eɪd decade
dɪˈspjuːt dispute
ˌpɔːr.tʃəˈɡiːz portuguese
taɪrd tired
ædˈvɝːs adverse
ˈev.ri.wer everywhere
ˈek.sɝːpt excerpt
stiːm steam
dɪsˈtʃɑːrdʒ discharge
eɪs ace
əˈkjuːt acute
ˌhæl.oʊˈiːn halloween
ˈklaɪ.mɪŋ climbing
stʊd stood
sɪŋ sing
pɝːˈfjuːm perfume
ˈker.əl carol
ˈɑː.nɪst honest
ˈhæz.ɚ.dəs hazardous
rɪˈstɔːr restore
stæk stack
ˌmeθ.əˈdɑː.lə.dʒi methodology
ˈsʌmˌbɑː.di somebody
suː sue
ˈhaʊs.werz housewares
ˌrep.jəˈteɪ.ʃən reputation
rɪˈzɪs.tənt resistant
ˌriːˈsaɪ.klɪŋ recycling
hæŋ hang
kɝːv curve
kriˈeɪ.t̬ɚ creator
ˈæm.bɚ amber
koʊd coding
ˈtræk.ɚ tracker
ˌver.iˈeɪ.ʃən variation
ˈpæs.ɪdʒ passage
trʌŋk trunk
ˈhaɪ.kɪŋ hiking
dæm damn
ˈhed.set headset
ˈfoʊ.t̬oʊ.ɡræf photograph
kəˈlʌm.bi.ə colombia
ˈkæm.əl camel
dɪˈstrɪb.jə.t̬ɚ distributor
ˌʌn.dɚˈlaɪ.ɪŋ underlying
hʊd hood
ˈres.lɪŋ wrestling
ˈsuː.ə.saɪd suicide
ˈɑːr.kaɪv archived
ˈfoʊ.t̬oʊ.ʃɑːp photoshop
ˌdʒeɪˈpiː jp
tʃiː chi
ˈɡæð.ɚ.ɪŋ gathering
prəˈdʒek.ʃən projection
dʒuːs juice
tʃeɪs chase
ˌmæθˈmæt̬.ɪ.kəl mathematical
ˈlɑː.dʒɪ.kəl logical
sɑːs sauce
feɪm fame
ɪkˈstrækt extract
ˈspeʃ.ə.laɪzd specialized
ˌdaɪ.əɡˈnɑː.stɪk diagnostic
ˈpæn.ə.mɑː panama
ˌɪn.di.əˈnæp.ə.lɪs indianapolis
ˈpeɪ.ə.bəl payable
ˈkɝː.t̬ə.si courtesy
ˈkrɪt̬.ɪ.sɪ.zəm criticism
ˈɑː.t̬ə.moʊ.biːl automobile
ˌkɑːn.fəˈden.ʃəl confidential
ˈstætʃ.ə.tɔːr.i statutory
əˌkɑː.məˈdeɪ.ʃənz accommodations
ˈæθ.ənz athens
ˌnɔːrθˈiːst northeast
ˌes.iːˈoʊ seo
rɪˈtaɪrd retired
ˌaɪ.esˈpiː isp
dɪˈtekt detected
wɑːk walked
ˈbreɪ.slət bracelet
ˈdʒuː.və.nəl juvenile
ɪnˈdʒek.ʃən injection
ˈjɔːrk.ʃɚ yorkshire
prəˈtek.tɪv protective
əˈfreɪd afraid
əˈkuː.stɪk acoustic
ˈreɪl.weɪ railway
kəˈset cassette
ɪˈnɪʃ.əl.i initially
ˈɪn.də.keɪ.t̬ɚ indicator
ˈpɔɪn.t̬ɪd pointed
kɑːz causing
mɪˈsteɪk mistake
lɑːk locked
iˈlɪm.ə.neɪt eliminate
ˈfjuː.ʒən fusion
ˈmɪn.ər.əl mineral
ˈsʌnˌɡlæs.ɪz sunglasses
ˈruː.bi ruby
ˈfɔːr.tʃuːn fortune
ˈpref.ər.əns preference
ˈkæn.vəs canvas
ˈθreʃ.hoʊld threshold
ˈper.ɪʃ parish
kleɪm claimed
ˈsem.ə.ter.i cemetery
ˈplæn.ɚ planner
kroʊˈeɪ.ʃə croatia
ˈsteɪ.di.əm stadium
ˌven.əˈzweɪ.lə venezuela
ˌek.spləˈreɪ.ʃən exploration
ˈkuː.pɑːn coupon
stem stem
ˈprɑːk.si proxy
əˈstrɑː.nə.mi astronomy
ɑːpt opt
druː drew
fluː flu
trænsˈleɪt translate
ˈkɑː.stuːm costume
voʊt voted
ˈkɪl.ɚ killer
əˈdʒʌst adjusted
ræp rap
tuːn tune
ˈbɪʃ.əp bishop
pʊld pulled
kɔːrn corn
ˌdʒiːˈpiː gp
ʃeɪpt shaped
kəmˈpreʃ.ən compression
ˈsiː.zən.əl seasonal
ɪˈstæb.lɪʃ establishing
ˈfɑːr.mɚ farmer
ˌkɑːn.stəˈtuː.ʃən.əl constitutional
ɡruː grew
ˈpɝː.fekt.li perfectly
tɪn tin
sleɪv slave
ˈɪn.stənt.li instantly
ˈnɔːr.fək norfolk
ˈkoʊ.tʃɪŋ coaching
ɪɡˈzæm.ɪn examined
trek trek
ɪnˈkoʊd encoding
ˌlɪt̬.əˈɡeɪ.ʃən litigation
peɪnt painted
ˈbrɑːdˌkæs.tɪŋ broadcasting
ˌhɔːr.ɪˈzɑːn.t̬əl horizontal
ˈɑːrt.wɝːk artwork
kɑːzˈmet̬.ɪk cosmetic
rɪˈzʌlt resulted
ˈpɔːr.trɪt portrait
ˈter.ɚ.ɪst terrorist
ˌɪn.fɚˈmeɪ.ʃən.əl informational
ˈeθ.ɪ.kəl ethical
moʊˈbɪl.ə.t̬i mobility
ˈflɔːr.əl floral
ˈstrʌɡ.əl struggle
ˈsʌf.ɚ.ɪŋ suffering
ˈnuː.trəl neutral
ræt rat
prəˈspek.tɪv prospective
ˈbed.ɪŋ bedding
ˈʌl.tə.mət.li ultimately
dʒɔɪn joining
ˈhed.ɪŋ heading
ˈiː.kwə.li equally
ˌɑːr.t̬əˈfɪʃ.əl artificial
ˈber.ɪŋ bearing
spekˈtæk.jə.lɚ spectacular
koʊˌɔːr.dənˈeɪ.ʃən coordination
kəˈnek.tɚ connector
ˈkɑːm.boʊ combo
ˈwɜrldz worlds
ˈɡɪl.ti guilty
əˈfɪl.i.eɪ.t̬ɪd affiliated
ˌæk.təˈveɪ.ʃən activation
ˈnætʃ.ɚ.əl.i naturally
ˈheɪ.vən haven
ˈtæb.lət tablet
ˈdʒʊr.i jury
duːz dos
teɪl tail
tʃɑːrm charm
lɑːn lawn
ˈvaɪə.lənt violent
ˈʌn.dɚ.wer underwear
ˈbeɪ.sən basin
suːp soup
poʊˈten.ʃəl.i potentially
ræntʃ ranch
ˈkrɑː.sɪŋ crossing
ˈkɑː.t̬ɪdʒ cottage
drʌŋk drunk
kənˈsɪd.ɚ.ə.bəl considerable
rɪˈzɑːlvd resolved
baɪt byte
ˈtoʊ.nɚ toner
noʊz nose
ˈleɪ.teks latex
ˈbræn.tʃɪz branches
ˌen.iˈmɔːr anymore
ˈdel.i delhi
ˈhoʊl·dɪŋz holdings
ˈeɪ.li.ən alien
loʊˈkeɪ.t̬ɚ locator
səˈlekt selecting
ˈpæn.t̬i.hoʊz pantyhose
ˌpiː.elˈsiː plc
broʊk broke
nəˈpɔːl nepal
zɪmˈbɑːb.weɪ zimbabwe
kəmˈplek.sə.t̬i complexity
ˌem.esˈdʒiː msg
ˈkɑːn.stənt.li constantly
braʊz browsing
rɪˈzɑːlv resolve
ˌbɑːr.səˈloʊ.nə barcelona
ˌprez.ɪˈden.ʃəl presidential
ˌdɑː.kjəˈmen.t̬ɚ.i documentary
kɑːd cod
ˈmɑː.skoʊ moscow
ˈθiː.sɪs thesis
θruː thru
ˈnaɪ.lɑːn nylon
ˌpæl.əˈstɪn.i.ən palestinian
ˈrɑː.ki rocky
ˈfriː.kwənt frequent
trɪm trim
naɪˈdʒɪr.i.ə nigeria
ˈsiː.lɪŋ ceiling
ɪnˈʃʊr ensuring
hɪˈspæn.ɪk hispanic
ˌsiːˈviː cv
ˌsiːˈbiː cb
ˈledʒ.ə.slə.tʃɚ legislature
ˌhɑː.spɪˈtæl.ə.t̬i hospitality
dʒen gen
ˈen.iˌbɑː.di anybody
prəˈkjʊr.mənt procurement
fliːt fleet
ʌnˈtaɪ.t̬əld untitled
bʌntʃ bunch
ˈsɪŋ.ɪŋ singing
ˌθiː.əˈret̬.kəl theoretical
əˈfɔːrd afford
rɪˈfɝː.əl referral
ˌen.eɪtʃˈel nhl
sɚˈveɪ.ləns surveillance
ˈɑːp.tə.məl optimal
kwɪt quit
dɪˈstɪŋkt distinct
lʌŋ lung
ˈhaɪ.laɪt highlight
ˈsʌb.stə.tuːt substitute
ɪnˈkluː.ʒən inclusion
ˈhoʊp.fəl.i hopefully
ˈbrɪl.jənt brilliant
sʌk sucking
tiː ti
ˌefˈsiː fc
dʒel gel
ˈspoʊ.kən spoken
oʊˈmeɪ.ɡə omega
ɪˈvæl.ju.eɪt evaluated
steɪ stayed
ˈsɪv.ɪk civic
ˌtɝː.məˈneɪ.ʃən termination
wɑːtʃ watched
ˈseɪ.vɚ saver
ˌðerˈɑːv thereof
ɡrɪl grill
rɪˈdiːm redeem
ɡreɪn grain
ˌeɪ.eɪˈeɪ aaa
ɑːˈθen.t̬ɪk authentic
reɪˈʒiːm regime
ˈwɑː.nə wanna
ˈwɪʃ·əz wishes
bʊl bull
ˌɑːr.kəˈtek.tʃɚ.əl architectural
dɪˈpend depend
ˈdɪf.ɚ differ
ˈmæk.ɪn.tɑːʃ macintosh
reɪndʒ ranging
breθ breath
ˈvɝː.tʃu.ə.li virtually
mɑːrt mart
ˈkæn.dəl candle
ˈhæŋ.ɪŋ hanging
ˈkʌl.ɚd colored
ˌɑː.θɚ.əˈzeɪ.ʃən authorization
teɪl tale
ˈver.ə.faɪ verified
ˈfɔːr.mɚ.li formerly
prəˈdʒek.tɚ projector
ˈsɪtʃ.u.eɪ.t̬ɪd situated
kəmˈper.ə.t̬ɪv comparative
ˌes.tiːˈdiː std
ˈɝː.bəl herbal
ˈlʌv.ɪŋ loving
ˈstrɪkt.li strictly
ˈruː.t̬ɪŋ routing
ˌsaɪ.kəˈlɑː.dʒɪ.kəl psychological
sɚˈpraɪzd surprised
ˈriː.teɪ.lɚ retailer
ˈel.ə.ɡənt elegant
rɪˈnuː.əl renewal
ˌdʒiː.niˈæl.ə.dʒi genealogy
əˈpoʊzd opposed
diːm deemed
skɔːr scoring
ɪkˈspen.də.tʃɚ expenditure
ˈpæn.t̬iz panties
ˈlɪv.ɚ.puːl liverpool
ˌkɑː.nekˈtɪv.ə.t̬i connectivity
ˈhæk.ɚ hacker
məˈdrɪd madrid
ˈsɪm.ə.lɚ.li similarly
ˈmɑːr.dʒɪn margin
kɔɪn coin
ˈsoʊl.li solely
feɪk fake
səˈlɑːn salon
kəˈlæb.ɚ.ə.t̬ɪv collaborative
ˈnɔːr.mən norman
ɪkˈskluː.dɪŋ excluding
ˈhed.ɪd headed
kjʊr cure
məˈdɑː.nə madonna
kəˈmæn.dɚ commander
ɑːrtʃ arch
səˈdʒes.tʃən suggestion
eɪtʃˌdiː.tiːˈviː hdtv
ˈsoʊl.dʒɚ soldier
eɪm aimed
bɑːm bomb
hɑːrm harm
ˈɪn.t̬ɚ.vəl interval
ˈspɑːt.laɪt spotlight
ˌriːˈset reset
brʌʃ brush
ɪnˈves.tə.ɡeɪt investigate
ðaɪ thy
rɪˈpiː.t̬ɪd repeated
əˈsɑːlt assault
kəˈnek.tɪŋ connecting
sper spare
ləˈdʒɪs.tɪks logistics
dɪr deer
tʌŋ tongue
ˈboʊ.lɪŋ bowling
ˈdeɪ.nɪʃ danish
pæl pal
ˈmʌŋ.ki monkey
prəˈpɔːr.ʃən proportion
ˈfaɪl.neɪm filename
skɝːt skirt
ɪnˈvest invest
ˈhʌn.i honey
əm um
sɪɡˈnɪf.ə.kəns significance
səˈner.i.oʊ scenario
jiː ye
əˈtɑː.mɪk atomic
sɪmˈpoʊ.zi.əm symposium
ˈer.ə.bɪk arabic
ɡeɪdʒ gauge
ˈdʒʌŋk.ʃən junction
prəˈtekt protecting
mæt mat
sɑːlv solving
ˈʌv.ən oven
ɪnˈten.sɪv intensive
sɪksθ sixth
ɪnˈɡeɪdʒ engage
ˈdiː.vi.ənt deviant
nuːn noon
swɪtʃ switching
kwoʊt quoted
ˌkɔːr.əˈspɑːn.dəns correspondence
ˌsuː.pɚˈvɪʒ.ən supervision
tʃiːt cheat
brɑːnz bronze
ˈsæn.dɪ sandy
ˌsep.əˈreɪ.ʃən separation
ˈtes.tə.moʊ.ni testimony
səˈspekt suspect
ˈmæk.roʊ macro
ˈsen.dɚ sender
ˈmæn.də.tɔːr.i mandatory
ˈkruː.ʃəl crucial
ˌsɪn.dəˈkeɪ.ʃən syndication
dʒɪm gym
ˌsel.əˈbreɪ.ʃən celebration
əˈdʒeɪ.sənt adjacent
ˈfɪl.t̬ɚ filtering
ˈtuː.ən tuition
spaʊs spouse
ɪɡˈzɑː.t̬ɪk exotic
ˈvjuː.ɚ viewer
ˈlʌk.səm.bɝːɡ luxembourg
riːtʃ reaching
ˈdæm.ɪdʒd damaged
-tɚ receptor
pɪs piss
læf laugh
ˈsɝː.dʒɪ.kəl surgical
dɪˈstrɔɪ destroy
saɪˈteɪ.ʃən citation
pɪtʃ pitch
joʊ yo
ˈprem.ɪ.sɪz premises
ˈper.i perry
əˈfen.sɪv offensive
ɪmˈpɪr.i.əl imperial
ˈdʌz.ən dozen
dɪˈplɔɪ.mənt deployment
tiːθ teeth
klɑːθ cloth
ˈstʌd.i studying
stæmp stamp
ˈloʊ.t̬əs lotus
ˈsæm.ən salmon
ˈsep.ə.reɪt separated
ˈkɑːr.ɡoʊ cargo
tæn tan
daɪˈrek.tɪv directive
meɪt mate
ˈstɑːr.t̬ɚ starter
lɑɪks likes
ˈbʌt̬.ɚ butter
ˈpep.ɚ pepper
ˈwep.ən weapon
ˈlʌɡ.ɪdʒ luggage
ˈbɝː.dən burden
ʃef chef
aɪl isle
ˈstaɪ.lɪʃ stylish
slɪm slim
ˈmeɪ.pəl maple
ˈɡroʊ.sɚ.i grocery
ˌɑːfˈʃɔːr offshore
ˈɡʌv.ɚ.nɪŋ governing
ˈdiː.poʊ depot
kɑːmp comp
paɪ pie
blend blend
əˈkeɪ.ʒən.əl.i occasionally
ˌsiː.biːˈes cbs
əˈtend attending
iˈmɪʃ.ən emission
spek spec
ˈfaɪ.nɪst finest
ˈriː.əl.ti realty
baʊ bow
əˈper.ənt apparent
ɪnˈstrʌk.ʃən.əl instructional
ˈɑː.t̬əm autumn
ˈtræv.əl.ɪŋ traveling
proʊb probe
ˈmɪd.i midi
ˌbaɪ.oʊ.tekˈnɑː.lə.dʒi biotechnology
ˈtɔɪ.lət toilet
ræŋk ranked
pækt packed
ɪkˈsaɪ.t̬ɪd excited
ˈaʊt.riːtʃ outreach
ˈmaʊn.t̬ɪŋ mounting
rɪˈkʌv.ɚ recover
ˈbæl.ənst balanced
prɪˈskraɪbd prescribed
ˈtaɪm.li timely
tɑːk talked
ˌdiːˈbʌɡ debug
dɪˈleɪd delayed
tʃʌk chuck
ˌriː.prəˈduːs reproduced
deɪl dale
ɪkˈsplɪs.ɪt explicit
ˌkæl.kjəˈleɪ.ʃən calculation
kənˈsɑː.lə.deɪ.t̬ɪd consolidated
buːb boob
ɪkˈskluːd exclude
piː peeing
ˈnuː.tən newton
ɪkˈsep.ʃən.əl exceptional
æŋˈzaɪ.ə.t̬i anxiety
ˈbɪŋ.ɡoʊ bingo
ˈspeɪ.ʃəl spatial
ˈʌn.tuː unto
səˈræm.ɪk ceramic
prɑːmpt prompt
ˈpreʃ.əs precious
ˈæn.ju.ə.li annually
ˌeɪ.tiːˈem atm
ˈzæn.æks xanax
kɑːks cox
ˈsʌn.i sunny
ˈkwiːnz.lənd queensland
ˈnek.ləs necklace
ˈkɑːm.pə.zɪt composite
ˌʌn.əˈveɪ.lə.bəl unavailable
ˈsiː.dɚ cedar
əˈreɪndʒ arranged
ˈæd.və.kə.si advocacy
ˈrɑː.li raleigh
stʌd stud
foʊld fold
ɪˈsen.ʃəl.i essentially
dɪˈzaɪ.nɪŋ designing
θred threaded
juːˈviː uv
ˈkwɑː.lə.faɪ qualify
ˈfɪŋ.ɡɚ.ɪŋ fingering
ˈmeɪ.sən mason
ˈdaɪ.ə.ɡræm diagram
slʌt slut
iˌdʒæk.jəˈleɪ.ʃən ejaculation
ˈfʊt.wer footwear
ˌbeɪˈdʒɪŋ beijing
ˈvɪk.tɚ victor
ˌpi.oʊˈes pos
əˈtætʃ attach
rɪˈmuːv removing
ədˈvaɪz advised
ˈspaɪ.dɚ spider
ˌsen.səˈtɪv.ə.t̬i sensitivity
ˌprez.ɚˈveɪ.ʃən preservation
ˈaɪ.sə.leɪ.t̬ɪd isolated
ˈɪn.t̬ɚ.ɪm interim
əˈsɪst assisted
dɪˈvaɪn divine
ˈstriː.mɪŋ streaming
əˈpruːv approve
tʃoʊz chose
ˈkɑːm- compound
ɪnˈten.sə.t̬i intensity
ˌtek.nəˈlɑː.dʒɪ.kəl technological
ˈsɪn.də.kət syndicate
əˈbɔːr.ʃən abortion
blæst blast
ˈwel.nəs wellness
ˈkæl.si.əm calcium
ˌæn.t̬iˈvaɪ.rəs antivirus
əˈdres addressing
poʊl pole
ˈdɪskaʊntɪd discounted
ʃiːld shield
ˈhɑːr.vəst harvest
prɑːɡ prague
ˌbæŋ.ɡləˈdeʃ bangladesh
ˈkɑːn.stə.tuːt constitute
ˈloʊ.kəl.i locally
kənˈkluːd concluded
ˈpɪk.ʌp pickup
ˈdes.pɚ.ət desperate
ˈnæs.kɑːr nascar
ˈaɪs.lənd iceland
ˌdem.ənˈstreɪ.ʃən demonstration
ˌɡʌv.ɚnˈmen.t̬əl governmental
ˌmæn.jəˈfæk.tʃɚ manufactured
ˌɡrædʒ.uˈeɪ.ʃən graduation
ˈme.ɡə mega
bend bend
ˈseɪ.lɪŋ sailing
ˈseɪ.krɪd sacred
əˈdɪk.ʃən addiction
məˈrɑː.koʊ morocco
kroʊm chrome
rɪˈfjuːz refused
breɪk brake
ɪkˈstɪr.i.ɚ exterior
ˈɡriː.t̬ɪŋ greeting
iˈkɑː.lə.dʒi ecology
ˈkɑːŋ.ɡoʊ congo
ɡlen glen
bɑːtˈswɑː.nə botswana
ˈsɪn.θə.sɪs synthesis
ˈɑː.lɪv olive
ˌʌn.dɪˈfaɪnd undefined
ˌʌn.ɪmˈplɔɪ.mənt unemployment
skɔːr scored
ɪnˈhæns.mənt enhancement
kloʊn clone
vəˈlɑː.sə.t̬i velocity
ˈlæm.də lambda
ˌrɪˈleɪ relay
kəmˈpoʊzd composed
oʊˈeɪ.sɪs oasis
ˈbeɪs.laɪn baseline
kæb cab
ˈæŋ.ɡri angry
fɑː fa
ˈsɪl.ə.kən silicon
brəˈzɪl.jən brazilian
aɪˈden.t̬ə.kəl identical
pəˈtroʊ.li.əm petroleum
kəmˈpiːt compete
nɔːrˈwiː.dʒən norwegian
ˈlʌv.ɚ lover
bɪˈlɑːŋ belong
ˌhɑː.nəˈluː.luː honolulu
esˈkɔːrt escort
rɪˈten.ʃən retention
pɑːnd pond
ˈsaʊnd.træk soundtrack
ˈwʌn.dɚ wondering
ˈmɑːl.tə malta
ˈdæd.i daddy
ˈfer.i ferry
ˈræb.ɪt rabbit
prəˈfeʃ.ən profession
ˈsiː.t̬ɚ seating
dæm dam
ˌsiː.enˈen cnn
ˈsep.ɚ.ət.li separately
ˌfɪz.iˈɑː.lə.dʒi physiology
kəˈlekt collecting
taɪr tire
pɑːrˈtɪs.ə.pənt participant
ˌrek.riˈeɪ.ʃən.əl recreational
doʊˈmɪn.ɪ.kən dominican
tʃæd chad
iˈlek.trɑːn electron
ˈfrend.ʃɪp friendship
ˈheð.ɚ heather
ˈpæs.pɔːrt passport
moʊˈtel motel
ˈwɔːr.ənt warrant
ˈfroʊ.zən frozen
ˈɑː.kjə.paɪd occupied
dʒɑːʃ josh
ˈrɔɪ.əl.t̬i royalty
ˈræl.i rally
əbˈzɝː.vɚ observer
ˈsʌn.ʃaɪn sunshine
streɪn strain
dræɡ drag
ˈser.ə.mə.ni ceremony
ˈsʌm.haʊ somehow
əˈrest arrested
ɪkˈspænd expanding
prəˈvɪn.ʃəl provincial
raɪp ripe
rɪˈlaɪ rely
ˈhiː.bruː hebrew
ɡeɪn gained
ˈdaɪ.ɪŋ dying
ˈlɑːn.dri laundry
stʌk stuck
ˈhoʊm.wɝːk homework
əˈdʒʌst adjust
əˈses assessed
ˈæd.vɚ.taɪ.zɚ advertiser
ɪnˈkrip.ʃən encryption
ˈfɪl.ɪŋ filling
ˌdaʊnˈloʊd.ə.bəl downloadable
səˈfɪs.tə.keɪ.t̬ɪd sophisticated
ɪmˈpoʊz imposed
ˈsaɪ.ləns silence
ˈsoʊ.vi.ət soviet
pəˈzeʃ.ən possession
ˈtriː.t̬i treaty
ˈvoʊ.kəl vocal
ˈtreɪ.nɚ trainer
ˈɔːr.ɡən organ
ˈlem.ən lemon
ˈtɑːk.sɪk toxic
ˈdɑːrk.nəs darkness
nʌts nuts
neɪl nail
viˈen.ə vienna
spæn span
sɑːks sox
dʒoʊk joke
rɪˈspɑːn.dənt respondent
ˈpæk.ɪŋ packing
ˈstætʃ.uːt statute
rɪˈdʒekt rejected
ˈsæt̬.ɪs.faɪ satisfy
dɪˈstrɔɪ destroyed
ˈʃel.t̬ɚ shelter
ˈtʃæp.əl chapel
ˌmæn.jəˈfæk.tʃɚ manufacture
ɡaɪd guided
ˌvʌl.nɚ.əˈbɪl.ə.t̬i vulnerability
əˌkaʊn.t̬əˈbɪl.ə.t̬i accountability
ˈsel.ə.breɪt celebrate
əˈkred.ɪ.t̬ɪd accredited
əˈplaɪ.əns appliance
kəmˈpres compressed
ˈmɪks.tʃɚ mixture
bentʃ bench
tʌb tub
ˈraɪ.dɚ rider
ˈskedʒuːlɪŋ scheduling
ˈreɪ.di.əs radius
mɔːrˈtæl.ə.t̬i mortality
ˈlɑː.ɡɪŋ logging
ˈbɔːr.dɚz borders
ˌθer.əˈpjuː.t̬ɪk therapeutic
ˈbɑː.bi bobby
ɪmˈpres.ɪv impressive
ʃiːp sheep
əˈkɔːr.dɪŋ.li accordingly
ˈɑːr.kə.tekt architect
ˈreɪl.roʊd railroad
ˈtʃæl.ɪn.dʒɪŋ challenging
ˈnɝː.sɚ.i nursery
æʃ ash
ˈmaɪ.kroʊ.weɪv microwave
ˌriːˈloʊ.keɪ.ʃən relocation
ˈsæl.əd salad
ˌenˈpiː np
ˈten.dɚ tender
foʊm foam
peɪst paste
dɪˈskreʃ.ən discretion
ˌtæn.zəˈniː.ə tanzania
prɪˈzɝːv preserve
ˈpoʊ.əm poem
ˈvaɪ.breɪ.t̬ɚ vibrator
ʌnˈsaɪnd unsigned
steɪ staying
kɑzˈmet̬·ɪks cosmetics
ˈiː.stɚ easter
rɪˈpɑː.zɪ.tɔːr.i repository
preɪz praise
ˈven.ɪs venice
esˈtoʊ.ni.ə estonia
ˌkrɪs.tʃiˈæn.ə.t̬i christianity
ˈve.t̬ɚ.ən veteran
ˈlæn.dɪŋ landing
ˈsaɪ.nɪŋ signing
ˈek.sə.kjuːt executed
ˌriː.əˈlɪs.tɪk realistic
siː.dʒiːˈaɪ cgi
ˈʃoʊ.keɪs showcase
ˈɪn.t̬ə.ɡrəl integral
rɪˈlæks relax
nəˈmɪb.i.ə namibia
ˈdʒen.ə.reɪt generating
kəŋˈɡreʃ.ən.əl congressional
sɪˈnɑːp.sɪs synopsis
ˈhɑːrd.li hardly
ˈprer.i prairie
ˌriːˈjuː.njən reunion
kəmˈpoʊ.zɚ composer
biːn bean
sɔːrd sword
ˈæb.sənt absent
ˌfoʊ.t̬əˈɡræf.ɪk photographic
ˈek.wə.dɔːr ecuador
hoʊp hoping
ˈæk.ses accessed
ˈspɪr·ɪts spirits
ˈkɔːr.əl coral
ˈpɪk.səl pixel
floʊt float
ˈbaɪ.əs bias
ˈɪm.pɔːrt imported
ˈbʌb.əl bubble
əˈkwaɪɚ acquire
ˈkɑːn.tre.ri contrary
mɪˈlen.i.əm millennium
ˈtrɪb.juːn tribune
ˈves.əl vessel
ˈder.i dairy
ədˈmɪt admit
ˈfæn.si fancy
iˈkwɑː.lə.t̬i equality
səˈmoʊ.ə samoa
əˈtʃiːv achieving
tæp tap
kəmˈpæn.jən companion
skwɑːd squad
ˈæn.əl.aɪz analyze
skroʊl scroll
rɪˈleɪt relate
swɪm swim
ˈweɪ·dʒəz wages
